term,coef,std_err,t_stat,p_value,ci_low,ci_high
Intercept,0.25264963253397343,2.012368233481434,0.1255484102414422,0.9000894023594679,-3.6915196287221277,4.196818893790074
C(month_of_year)[T.2],-0.21992442301564916,1.305213541493119,-0.16849689037401747,0.8661923898201248,-2.7780959564761374,2.3382471104448395
C(month_of_year)[T.3],1.520765562098289,1.2364817598195517,1.2299134621445809,0.21872951247916617,-0.9026941546887375,3.944225278885315
C(month_of_year)[T.4],1.813705007277825,1.267335901143954,1.4311162538997702,0.15239689967379336,-0.6702277152789391,4.297637729834589
C(month_of_year)[T.5],0.028470984344628338,1.1355637521207305,0.025072114437835077,0.9799974426429926,-2.1971930719611725,2.2541350406504295
C(month_of_year)[T.6],-0.5291869269018706,1.270989453681831,-0.41635823599394156,0.6771478843507203,-3.0202804808484984,1.9619066270447574
C(month_of_year)[T.7],1.9478852115179601,1.2175914747407919,1.599785520782032,0.10964617199145223,-0.43855022685700296,4.334320649892923
C(month_of_year)[T.8],-0.07178769172151654,1.173780230306472,-0.061159397532852385,0.9512322652442973,-2.372354668887332,2.2287792854442987
C(month_of_year)[T.9],-0.8830859823064202,1.3347122142291241,-0.6616302547410604,0.5082082129571224,-3.4990738519212123,1.7329018873083721
C(month_of_year)[T.10],1.0129785268573461,1.4873421291230455,0.6810662503418835,0.49582957113693227,-1.9021584789129458,3.928115532627638
C(month_of_year)[T.11],2.513112930003246,1.1738869221940436,2.140847540328785,0.03228633476699478,0.21233684058034807,4.813889019426144
C(month_of_year)[T.12],0.5198526688518977,1.1427032908705645,0.4549323284575909,0.6491579241431198,-1.7198046262698066,2.759509963973602
sentiment_michigan_ics_l1,0.002166264510463298,0.022206365296593675,0.09755151198902372,0.9222884286063467,-0.041357411698400424,0.04568994071932702
bull_bear_spread_l1,-0.006292527540604034,0.017923843923992336,-0.3510702038741277,0.7255356808589972,-0.041422616096146087,0.02883756101493802
smb,0.45675117134275506,0.12363484533498138,3.6943563127790915,0.00022044450546765905,0.21443132725201164,0.6990710154334985
hml,0.364283344068357,0.12570533651908214,2.897914711942707,0.0037565272877974304,0.11790541182646841,0.6106612763102456
rmw,-0.27604136902306836,0.1818030025300104,-1.5183542910821946,0.12892510803338245,-0.6323687062631331,0.08028596821699635
cma,-0.6590117142765862,0.20052738199164047,-3.286392649877905,0.0010147944564958375,-1.0520381608943072,-0.2659852676588651
